使用设备：mps
EPOCHS=100 | BATCH_SIZE=64 | LR=0.0003 | scheduler=StepLR(step=20, gamma=0.7)

Epoch   1/100 | train_loss: 3944.9435 | val_loss: 1614.8840 | lr: 0.000300 ← 保存
Epoch   2/100 | train_loss: 246.5401 | val_loss: 281.9027 | lr: 0.000300 ← 保存
Epoch   3/100 | train_loss: 116.9955 | val_loss: 106.0870 | lr: 0.000300 ← 保存
Epoch   4/100 | train_loss: 78.1475 | val_loss: 291.7190 | lr: 0.000300
Epoch   5/100 | train_loss: 59.9016 | val_loss: 320.9756 | lr: 0.000300
Epoch   6/100 | train_loss: 50.0278 | val_loss: 44.5763 | lr: 0.000300 ← 保存
Epoch   7/100 | train_loss: 46.1630 | val_loss: 79.3779 | lr: 0.000300
Epoch   8/100 | train_loss: 41.7437 | val_loss: 37.5591 | lr: 0.000300 ← 保存
Epoch   9/100 | train_loss: 38.7517 | val_loss: 90.3028 | lr: 0.000300
Epoch  10/100 | train_loss: 37.3747 | val_loss: 90.9788 | lr: 0.000300
Epoch  11/100 | train_loss: 38.9762 | val_loss: 330.3574 | lr: 0.000300
Epoch  12/100 | train_loss: 38.4484 | val_loss: 45.6800 | lr: 0.000300
Epoch  13/100 | train_loss: 35.8683 | val_loss: 39.4246 | lr: 0.000300
Epoch  14/100 | train_loss: 34.6846 | val_loss: 41.9912 | lr: 0.000300
Epoch  15/100 | train_loss: 33.3840 | val_loss: 390.4280 | lr: 0.000300
Epoch  16/100 | train_loss: 46.1899 | val_loss: 87.7232 | lr: 0.000300
Epoch  17/100 | train_loss: 38.0236 | val_loss: 229.8027 | lr: 0.000300
Epoch  18/100 | train_loss: 45.1180 | val_loss: 40.8368 | lr: 0.000300
Epoch  19/100 | train_loss: 33.9953 | val_loss: 34.3743 | lr: 0.000300 ← 保存
Epoch  20/100 | train_loss: 31.8310 | val_loss: 47.2885 | lr: 0.000210
Epoch  21/100 | train_loss: 31.0669 | val_loss: 35.7910 | lr: 0.000210
Epoch  22/100 | train_loss: 31.2177 | val_loss: 32.6673 | lr: 0.000210 ← 保存
